id,text,emojis,sticker_tags,label,split
954,You cleaned it? Fine. slow down and think. note,😑,clap,impolite,train
955,This idea is confusing. do it properly. thanks,😐,zzz,impolite,train
956,Whatever. and make it right.,😤,drum,impolite,val
957,"Nice, thanks for nothing. note",😠,check,impolite,train
958,This idea is half-done. do it again. thanks,😕,,impolite,train
959,You redid it? Fine. learn the process.,😕,,impolite,train
960,"Right, review it after lunch, obviously.",👏,blush,impolite,train
961,That PR? half-done. do it properly. review,💢,lightbulb,impolite,train
962,Why is this still not redone?,💢,blush,impolite,train
963,Stop making it unclear. redo it.,😒,plug,impolite,train
964,That branch? careless. make it right.,✨,link,impolite,val
965,"Great, redo it today, obviously. idea",😤,hug,impolite,train
966,Be serious. Do it properly next hour. idea,😤,sunglasses,impolite,train
967,"Wow, thanks for nothing. maybe",😕,star2,impolite,train
968,You reviewed it? Fine. check the guide. redo,😬,,impolite,train
969,That task? careless. do it properly. context,🙄,ok-hand,impolite,val
970,"Great, thanks for nothing. clean",😁,sigh,impolite,train
971,Why is this still not sent? confirm,😤,spark,impolite,val
972,"Wow, thanks for nothing.",🤦,sunglasses,impolite,train
973,Right. and clean it up. maybe,😠,,impolite,val
974,Stop making it half-done. make it right. ship,😬,dart,impolite,test
975,This doc is rushed. clean it up.,🙂,,impolite,train
976,That PR? messy. make it right. thanks,😕,facepalm-hard,impolite,train
977,Why is this still not updated? really,😤,angry,impolite,train
978,"Wow, finish it next hour, obviously. ship",😤,sigh,impolite,train
979,You explained it? Yeah. slow down and think. fine,😓,,impolite,train
980,You updated it? Whatever. try again properly.,😐,hug,impolite,train
981,This patch is half-done. do it properly. detail,😡,blush,impolite,test
982,"Nice, thanks for nothing. help",😑,ok-hand,impolite,train
983,"Amazing, thanks for nothing. maybe",😉,,impolite,train
984,Right. and do it again.,😕,yawn,impolite,test
985,This update is half-done. do it properly. tone,🤦,neutral,impolite,train
986,That patch? confusing. do it properly. version,🤦,,impolite,val
987,That branch? rushed. fix it. thanks,😤,chart-down,impolite,train
988,You explained it? Sure. check the guide. help,😡,,impolite,test
989,Yeah. and fix it.,😕,mic-drop,impolite,train
990,That idea? unacceptable. clean it up. check,🤦,star2,impolite,val
991,"Wow, review it before standup, obviously. clean",😉,ghost,impolite,train
992,Why is this still not finished?,✨,video,impolite,train
993,You reviewed it? Yeah. read the doc. already,🤦,sunglasses,impolite,train
994,You cleaned it? Fine. slow down and think.,😕,cross,impolite,train
995,Be serious. Do it properly ASAP. later,👎,fire,impolite,train
996,That PR? unclear. do it again. tone,😕,target,impolite,test
997,"Great, clean it next hour, obviously. okay",😬,rocket,impolite,train
998,Why is this still not checked? already,😏,tears-of-joy,impolite,test
999,Stop making it not great. make it right. already,😓,gasp,impolite,train
1000,This module is messy. do it properly. thanks,😒,lightbulb,impolite,val
1001,Nice job.,🙄,clap,impolite,train
1002,Nice job.,🙂,clap,polite,train
1003,Can you stop this now,🙂,eyeroll,polite,train
1004,Stop this now,🙄,clap,impolite,train
1005,Thanks a lot,😐,slow-clap,impolite,train
1006,Thanks a lot!,😊,hearts,polite,train
1007,Great work really,😏,eyeroll-hard,impolite,train
1008,"Great work, really!",👏,trophy,polite,train
